performer;title;lyrics
N;Old Age;One more day to complete my service One more high to decay my never Wondering how I'm gonna find a way It's over One more day to complete my service One more time here to fade my servant One more day if I find a way Over  She seemed to read minds And I know a later time We could make it with you Leave the soul  Old age, old age, old age, old age  One more day to complain my servant One more doubt here to find a servant One more time here if I find a way It's over Wondering how I'm here date my cover One more doubt here to save my never Wondering how I'm gonna find a way It's over  She seemed to read minds And I know a later time We could make it with you Leave the soul  Old age, old age, old age, old age  Just you need And read You're freak  And knew You read You flew  One more day to complete my circuit One more high here to find my nervous Someday I'm gonna find a way It's over One more doubt here to claim my supper I can have anything you want to One more day if I find a way It's over  She seemed to read minds And I know we were out of time Breathe the way here with you Dream the same on the dew Breathe the same on her Take a moan on a man Breathe the shame on you Breathe the lie  Old age, old age, old age, old age Old age, old age, old age 
N;Tourette's;Moderate rock!  Mayday every day, in my heart Could've had a heart attack, in my heart We don't know anything, in my heart We all want something fair, in my heart Hey!...  Out of town, out of sight, is my heart Queen of lies, everyday, in my heart One more at the phone, in my heart One more at the door, at my heart Hey!...  Mean heart, cold heart, cold heart, cold heart Cold heart, cold heart, cold heart, cold heart 
M;The Outlaw Torn;And now I wait my whole lifetime for you And now I wait my whole lifetime for you  I ride the dirt, I ride the tide for you I search the outside, search inside for you  To take back what you left me I know I’ll always burn to be The one who seeks so I may find And now I wait my whole lifetime  Outlaw of torn Outlaw of torn And I’m torn  So on I wait my whole lifetime for you So on I wait my whole lifetime for you  The more I search, the more my need for you The more I bless, the more I bleed for you  You make me smash the clock and feel I’d rather die behind the wheel Time was never on my side So on I wait my whole lifetime  Outlaw of torn Outlaw of torn Outlaw of torn And I’m torn  Hear me And if I close my mind in fear Please pry it open See me And if my face becomes sincere Beware Hold me And when I start to come undone Stitch me together Save me And when you see me strut Remind me of what left this outlaw torn
N;Lake Of Fire;Where do bad folks go when they die? They don't go to heaven where the angels fly They go to the lake of fire and fry Won't see them again 'till the fourth of July  I knew a lady who came from Duluth She got bit by a dog with a rabid tooth She went to her grave just a little too soon And she flew away howling on the yellow moon  Where do bad folks go when they die? They don't go to heaven where the angels fly They go down to the lake of fire and fry Won't see them again 'till the fourth of July  Now the people cry and the people moan And they look for a dry place to call their home And try to find some place to rest their bones While the angels and the devils try to make them their own  Where do bad folks go when they die? They don't go to heaven where the angels fly They go down to the lake of fire and fry Won't see them again 'till the fourth of July 
N;Aero Zeppelin;What's a season in a right if you can't have anything What's the reason in a rhyme if a plan means anything What's the meaning in a crime, it's a fan if anything Where's the learning in a line, it's a brand, it's a brand  How a culture comes again, it was all here yesterday And you swear it's not a trend, doesn't matter anyway There's only here to talk to friends, nothing new is everyday You could shit upon the stage, they'll be fans  They'll be fans [alt: If you brand] [x3]  [x2] All the kids will eat it up, if it's packaged properly Steal a sound and imitate, keep a format equally Not an ode, just the facts, where our world is nowadays An idea is what we lack, it doesn't matter anyways  Hey ... [x7]
N;Floyd The Barber;Bell on door clanks - come on in Floyd observes my hairy chin Sit down (in the) chair, don't be afraid Steamed hot towel on my face  I was shaved I was shaved I was shaved  Barney ties me to the chair I can't see, I'm really scared Floyd breathes hard, I hear a zip Pee-Pee pressed against my lips  I was shamed I was shaved I was shaved  I sense others in the room Opie Aunt Bee, I presume They take turns in cut me up I die smothered in Andy's butt  I was shaved I was shaved I was shaved 
N;Mr. Moustache;Fill me in on your new vision Wake me up with indecision Help me trust your might and wisdom Yes I eat cow - I am not proud  Show me how you question, question Lead the way to my temptations Take my hand and keep it clean Yes I eat cow - I am not proud  Is he in an easychair? Poop as hard as rock I don't like you anyway Seal it in a box [alt: Silver metal box]  I'm new [x2]  Fill me in on your new vision Wake me up with indecision Help me trust your might and wisdom Yes I eat cow - I am not proud  Show me how you question, question Lead the way to my temptations Take my hand and keep it clean Yes I eat cow - I am not proud  Is he in an easychair? Poop as hard as rock I don't like you anyway Seal it in a box [alt: Silver metal box]  [x2] I'm new I'm you  Aaaahh!  
M;The House Jack Built;Open door, so I walk inside Close my eyes, find my place to hide And I shake as I take it in Let the show begin  Open my eyes just to have them close again Well on my way, but on my way to where I’ve been It swallows me as it takes me in its fog I twist away as I give this world the nod  Open door, so I walk inside Close my eyes, find my place to hide And I shake as I take it in Let the show begin  Open my eyes just to have them closed once again Don’t want control As it takes me down and down and down again Is that the moon or just a light that lights this dead-end street? Is that you there or just another demon that I meet?  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Step into the house that Jack built  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Yes, this is the house that Jack built  Open door, yes, I walk inside Swallow me so the pain subsides And I shake as I take the sin Let the show begin  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Yes, this is the house that Jack built  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Yes, I am, I am, I am  Open my eyes It swallows me Is that you there I twist away Away Away Away
N;Anorexorcist;Look your legs are ashes Charred into a special Don't make noise you'll break Your legs, your eyes and all You're right  I was your incompetent Man just read the furies Special time but you can't Make too much of him Gray Oh, oh  I was yours and closer You were them in New York Got me in to entertain Your legs are in your legs  I was your end dancer More than all I wish you Got me under with the Nice, nice, nice religious man Oh, Oh...  
M;Hate Train;Hate is a train That thunders aimless through my head And hate is the fame Chained to the wheel until I am dead Rage is a flame Creates a touch to boil the seas And rage is to blame Forever sorry I shall be And from a darkness I descend Clenching a torch of sweet revenge  No You took away tomorrow, still I stand I ride into the sorrow, still I stand You took away tomorrow, still I stand Straight down into the sorrow, but still I stand  Wrath is the name Branding suffer onto you And wrath takes the shame And holds me down until it is through And from a darkness I descend Clenching a torch of sweet revenge  You took away tomorrow, still I stand I ride into the sorrow, still I stand You took away tomorrow, still I stand I sink into the sorrow, still I stand  And hate is a train That hungers for the flesh's call And hate takes the blame A beast that never slows at all And from a darkness I descend Clenching a torch of sweet revenge Burst into flame, the bitter end And shake the gates of hell again  Yeah, cursed to drown in sorrow  You took away tomorrow, still I stand I ride into the sorrow, still I stand You took away tomorrow, still I stand You left me here with sorrow, still I stand  Oh, still I stand  
