performer;title;lyrics
N;Oh, Me;If I had to lose a mile If I had to touch feelings I would lose my soul The way I do  I don't have to think I only have to do it The results are always perfect And that's old news  Would you like to hear my voice Sprinkled with emotion Invented at your birth?  I can't see the end of me My whole expanse I cannot see I formulate infinity Stored deep inside me  If I had to lose a mile If I had to touch feelings I would lose my soul The way I do  I don't have to think I only have to do it The results are always perfect And that's old news  Would you like to hear my voice Sprinkled with emotion Invented at your birth?  I can't see the end of me My whole expanse I cannot see  [x2] I formulate infinity Stored deep inside me  
N;Big Cheese;"Big cheese - make me Mine says, ""Go (to) the office"" Big cheese - make me Mine says, ""One that stays""  Black is black, straight back Need more enemies Show you all what a man is Need more ememies  Big lies - make my Mine says ""Go (to) the office"" Big cheese - make me Message? What is it?  Black is black, straight back Need more enemies She is glue, how are you?  Big cheese - make me Mine says ""Go (to) the office"" Big cheese - make me Message? What is it?  Black is black, straight back Need more enemies She is glue, how are you?  Black is black, straight back Need more enemies Sure you are, but what am I? Need more enemies  She is glue, how are you? Need more enemies Sure you are, but what am I? "
N;Jesus Don't Want Me For A Sunbeam;Jesus, don't want me for a sunbeam Sunbeams are never made like me [Alt: Sunbeams are laughing at me]  Don't expect me to cry, For all the reasons you had to die Don't ever ask your love of me  Don't expect me to cry Don't expect me to lie Don't expect me to die for thee  Jesus, don't want me for a sunbeam Sunbeams are never made like me [Alt: Sunbeams are laughing at me]  Don't expect me to cry, For all the reasons you had to die Don't ever ask your love of me  [x2] Don't expect me to cry Don't expect me to lie Don't expect me to die for thee  Jesus, don't want me for a sunbeam Sunbeams are never made like me [Alt: Sunbeams are laughing at me]  Don't expect me to cry, For all the reasons you had to die Don't ever ask your love of me  Don't expect me to cry Don't expect me to lie Don't expect me to die Don't expect me to cry Don't expect me to lie Don't expect me to die for thee  
N;If You Must;I can read, I can write I can breed, proven plight Nurse my greed, crease infold Is it me, or my ego?  Write some words, make them rhyme Thesis or story line Set the mood, something new Is it me, or my attitude?  She said If you want to put off an image And you miss, the extremes The extremes, act it out Practicing Perfecting Pressuring Onto me [x3]  I will wade, in the fire To explain, your asylum Idle times, analyzing We'll compare, all our sightings, come on  I speak, to hear, my voice
M;Ride The Lightning;"Guilty as charged But damn it, it ain't right There's someone else controlling me  Death in the air Strapped in the electric chair This can't be happening to me  Who made you God to say ""I'll take your life from you?""  Flash before my eyes Now it's time to die Burning in my brain I can feel the flame  Wait for the sign To flick the switch of death It's the beginning of the end  Sweat, chilling cold As I watch death unfold Consciousness my only friend  My fingers grip with fear What am I doing here?  Flash before my eyes Now it's time to die Burning in my brain I can feel the flame  Someone help me Oh please, God help me They're trying to take it all away I don't want to die  Time moving slow The minutes seem like hours The final curtain call I see  How true is this? Just get it over with If this is true, just let it be  Wakened by horrid scream Freed from this frightening dream  Flash before my eyes Now it's time to die Burning in my brain I can feel the flame"
M;The Unnamed Feeling;Been here before Been here before Been here before Been here before  Been here before Been here before  Been here before couldn't say I liked it But do I start writing all this down? Just let me plug you into my world Can't you help me be uncrazy?  Name this for me, heat the cold air Take the chill off of my life And if I could I'd turn my eyes To look inside to see what's comin'  It comes alive, It comes alive, It comes alive And I die a little more It comes alive, It comes alive, It comes alive Each moment here I die a little more Oooh, I die, I die, I die a little more  Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away  Been here before Been here before Been here before Been here before  Been here before Been here before  I'm frantic in your soothing arms I can not sleep in this down filled world I've found safety in this loneliness But I can not stand it anymore  Cross my heart hope not to die Swallow evil, ride the sky Lose myself in a crowded room You fool, you fool, it will be here soon  It comes alive, It comes alive, It comes alive And I die a little more It comes alive, It comes alive, It comes alive Each moment here I die a little more Oooh, I die, I die, I die a little more  Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And I wait for this train Toes over the line And then the unnamed feeling Takes me away It takes me Then the unnamed feeling It comes alive, yeayeah Then the unnamed feeling Takes me away Yeah, takes me away  Get the fuck out of here I just wanna get the fuck away from me I rage, I glaze, I hurt, I hate I hate it all, why? Why? Why me?  I cannot sleep with a head like this I wanna cry, I wanna scream I rage, I glaze, I hurt, I hate I wanna hate it all away  Then the unnamed feeling It comes alive, yeayeah Then the unnamed feeling Treats me this way Then I wait for this train My toes are over the line Then the unnamed feeling Takes me away Yeah, it takes me away Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away
N;Verse Chorus Verse;Neither side is sacred No one wants to win Feeling so sedated Think I'll just give in  Taking medication Till my stomach's full Neither side is sacred Crawling in the hole  The grass is greener over here You're the fog that keeps it clear Re-inventing what we knew Taken time is all but true You're the reason I feel pain Feels so good to feel again  Neither side is sacred No one wants to win Feeling so sedated But I can't give in  Taking medication Till my stomach's full Feelin' so sedated When I'm in my home  The grass is greener over here You're the fog that keeps it clear Re-inventing what we knew Taken time is weird but true You're the reason I feel pain Feels so good to feel again  Neither side is sacred No one wants to win Feeling so sedated We all just give in  Taking medication Till my stomach's full Feelin' so sedated When I'm in my home  The grass is greener over here You're the fog that keeps it clear Re-inventing what we knew Learn from history, all that’s true You're the reason I feel pain Feels so good to feel again 
N;Aneurysm;Come on over and do the twist Overdo it and have a fit Love you so much it makes me sick Come on over and do the twist  Beat me outta me - beat it! beat it! [x7] Beat me outta me  Come on over and do the twist Overdo it and have a fit Love you so much it makes me sick Come on over and shoot the shit  Beat me outta me - beat it! beat it! [x7] Beat me outta me  She keeps it pumpin' straight to my heart [x8]
M;Seek & Destroy;Alright  We’re scanning the scene in the city tonight We’re looking for you to start up a fight There’s an evil feeling in our brains But it’s nothing new, you know it drives us insane  Running On our way Hiding You will pay Dying One thousand deaths Running On our way Hiding You will pay Dying One thousand deaths  Searching Seek and destroy Searching Seek and destroy Searching Seek and destroy Searching Seek and destroy  There is no escape and that’s for sure This is the end, we won't take any more Say goodbye to the world you live in You’ve always been taking but now you’re giving  Running On our way Hiding You will pay Dying One thousand deaths Running On our way Hiding You will pay Dying One thousand deaths  Searching Seek and destroy Searching Seek and destroy Searching Seek and destroy Searching Seek and destroy  Our brains are on fire with the feeling to kill And it won't go away until our dreams are fulfilled There is only one thing on our minds Don’t try running away ‘cause you’re the one we will find  Running On our way Hiding You will pay Dying One thousand deaths Running On our way Hiding You will pay Dying One thousand deaths  Searching Seek and destroy Searching Seek and destroy Searching Seek and destroy Searching Seek and destroy 
N;Very Ape;I am buried up to my neck in Contradictionary flies I take pride as the king of illiterature I'm very ape and very nice  If you ever need anything please don't Hesitate to ask someone else first I'm too busy acting like I'm not naive I've seen it all, I was here first  Out of the ground Into the sky Out of the sky Into the dirt  If you ever need anything please don't Hesitate to ask someone else first I'm too busy acting like I'm not naive I've seen it all, I was here first  [x2] Out of the ground Into the sky Out of the sky Into the dirt 
M;Enter Sandman;Say your prayers, little one Don't forget, my son To include everyone  Tuck you in, warm within Keep you free from sin Till the Sandman he comes  Sleep with one eye open Gripping your pillow tight  Exit: light Enter: night Take my hand We're off to never never land  Something's wrong, shut the light Heavy thoughts tonight And they aren't of Snow White  Dreams of war, dreams of liars Dreams of dragon's fire And of things that will bite  Sleep with one eye open Gripping your pillow tight  Exit: light Enter: night Take my hand We're off to never never land  Now I lay me down to sleep Pray the Lord my soul to keep If I die before I wake Pray the Lord my soul to take  Hush little baby, don't say a word And never mind that noise you heard It's just the beasts under your bed In your closet, in your head  Exit: light Enter: night Grain of sand  Exit: light Enter: night Take my hand We're off to never never land 
N;Clean Up Before She Comes;Clean up before she comes [x5] Living in a dusty town [x3] (Alt: Living in a dusty dump) Something in her eyes Must be the smoke from my lungs Something in her eyes Must be the smoke from my lungs  I must be getting old I must be getting older I'm starting to eat my vegetables Something in her eyes Must be the smoke from my lungs Something in her eyes Must be the smoke from my lungs  Clean up the dusty town Living in a dusty town [x3] Clean up before she comes [x3] Living in a dusty town  I must be getting old (Alt: Getting older) I must be getting old (Alt: Ate my vegetables)  I'm starting to eat my vegetables
M;To Live Is To Die;When a man lies he murders some part of the world These are the pale deaths which men miscall their lives All this I cannot bear to witness any longer Cannot the kingdom of salvation take me home
M;Don't Tread On Me;Liberty or death, what we so proudly hail Once you provoke her, rattling of her tail Never begins it, never, but once engaged... Never surrenders, showing the fangs of rage  Don't tread on me  So be it Threaten no more To secure peace is to prepare for war So be it Settle the score Touch me again for the words that you'll hear evermore...  Don't tread on me  Love it or leave it, she with the deadly bite Quick is the blue tongue, forked as the lightning strike Shining with brightness, always on surveillance The eyes, they never close, emblem of vigilance  Don't tread on me  So be it Threaten no more To secure peace is to prepare for war So be it Settle the score Touch me again for the words that you'll hear evermore...  Don't tread on me  So be it Threaten no more To secure peace is to prepare for war  Liberty or death, what we so proudly hail Once you provoke her, rattling of her tail  So be it Threaten no more To secure peace is to prepare for war So be it Settle the score Touch me again for the words that you'll hear evermore...  Don't tread on me 
M;Phantom Lord;Sound is ripping through your ears The deafening sound of metal nears Your bodies waiting for his whips The taste of leather on your lips  Hear the cry of War Louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall onto your knees For the Phantom Lord  Victims falling under chains You hear them crying dying pains The fists of terrors breaking through Now there's nothing you can do  Hear the cry of War Louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall onto your knees For the Phantom Lord  The leather armies have prevailed The Phantom Lord has never failed Smoke is lifting from the ground The rising volume metal sound  Hear the cry of War Louder than before With his sword in hand to control the land Crushing metal strikes on this frightening night Fall onto your knees For the Phantom Lord  Fall to your knees and bow to the PhantomLord 
N;Swap Meet;They lead a lifetime that is comfortable They travel far to keep their stomachs full They make their living off of arts and crafts The kind with seashells, driftwood and burlap They make a deal when they come to town The Sunday swap meet is a battle ground She loves him more than he will ever know He loves her more than he will ever show  Keeps his cigarettes close to his heart Keeps her photographs close to her heart Keeps the bitterness close to the heart 
M;Little Dog;Little dog who can’t get in Moaning at the bed side Moaning from each limb  Little dog who can’t get in Can only cry but Can not swim  Pony legs, little trot Little dog has to wait a lot  The bigger dog has got his spot And elbowed him away  Listen to him barking Listen to him call Little dog don’t have much at all  A puny body and a tiny dick A little dog can make you sick  If you got the money you can go to the top The female dog don’t care what you got As long as you can raise that Little doggie face to a cold hearted pussy You could have a taste  A taste of what the big dog got A taste of what the big dog got The little dog with the one hundred dollar spot Can run his tongue over the hot in trot Hot in trot Run his tongue over the hot in trot  Money can do anything Money can do anything Money can do anything Tell me what you want  My small dog, he want what I got  Wants to run his tongue over my hot spot  Pathetic little dog  Pathetic little dog The little man follows his nose Counts his fingers and his toes He still got those Pathetic little dog Pathetic little dog Following his nose But it needs my money to buy  I’m an up while you’re a down I am an up while you’re a down The spring and the will follow me around While you sniff your shit in the wind Sniff your shit in the wind Money can do anything Money can do anything Tell me what it is you want Just tell me what it is you want I’m an up while you’re a down The spring and the will follow me around  Tell me what it is you want Tell me what it is you want  You sniff your shit in the wind Follow me around  Pathetic little dog Pathetic little dog Pathetic little dog 
M;Moth Into Flame;Blacked out Pop queen, amphetamine The screams crashed into silence  Tapped out Doused in the gasoline The high times going timeless  Decadence Death of the innocence The pathway starts to spiral  Infamy All for publicity Destruction going viral  Light it up Ah, light it up Another hit erases all the pain Bulletproof Ah, kill the truth You're falling, but you think you're flying high High again  Sold your soul Built a higher wall Yesterday Now you're thrown away  Same rise and fall Who cares at all? Seduced by fame A moth into the flame  Twisted Backstabbing wicked The delusion absolution  Perjurer Fame is the murderer Seduce you into ruin  Light it up Ah, light it up Another hit erases all the pain Bulletproof Ah, tell the truth You're falling, but you think you're flying high High again  Sold your soul Built the higher wall Yesterday Now you're thrown away  Same rise and fall Who cares at all? Seduced by fame A moth into the flame Burn  Guarantee your name, you go and kill yourself The vultures feast around you still Overdose on shame and insecurity If one won't do that fistful will  Death scene Black hearse the limousine A grave filled with seduction  Vaccine Fame does the murdering She builds up for destruction  So light it up Ah, light it up Another hit erases all the pain Bulletproof Ah, no excuse You're falling, but you think you're flying high High again  Sold your soul Built the higher wall Yesterday Now you're thrown away  Same rise and fall Who cares at all? Seduced by fame A moth into the flame  Addicted to the Fame 
N;School;[x4] Won't you believe it It's just my luck  [x3] No recess  [x4] Won't you believe it It's just my luck  [x3] No recess  [x8] You're in high school again  [x7] No recess
M;All Within My Hands;All within my hands Squeeze it in, crush it down All within my hands Hold it dear, hold it suffocate  All within my hands Love to death, smack you 'round and 'round and All within my hands Beware  Love is control I'll die if I let go  Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hurry up and hate me now Kill all within my hands  All within my hands Take your fear, pump me up All within my hands Let you run, then I pull your leash  All within my hands Under thumb, under to myself All within my hands Beware  Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hurry up and hate me now Kill all within my hands again  I'll die if I let go Control is love, love is control I'll fall if I let go Control is love, love is control  I will only let you breath My air that you receive Then we'll see if I let you love me Kill Kill Kill Kill Kill 
M;Until It Sleeps;Where do I take this pain of mine? I run, but it stays right by my side  So tear me open, pour me out There’s things inside that scream and shout And the pain still hates me So hold me until it sleeps  Just like the curse, just like the stray You feed it once and now it stays Now it stays  So tear me open but beware There’s things inside without a care And the dirt still stains me So wash me until I’m clean  It grips you, so hold me It stains you, so hold me It hates you, so hold me It holds you, so hold me Until it sleeps  So tell me why you’ve chosen me Don’t want your grip Don’t want your greed Don’t want it  I’ll tear me open, make you gone No more can you hurt anyone And the fear still shakes me So hold me until it sleeps  It grips you, so hold me It stains you, so hold me It hates you, so hold me It holds you, holds you, holds you Until it sleeps  I don’t want it  So tear me open but beware There’s things inside without a care And the dirt still stains me So wash me... till clean  I’ll tear me open, make you gone No longer will you hurt anyone And the hate still shapes me So hold me until it sleeps Until it sleeps 
N;Polly;Polly wants a cracker Think I should get off her first Think she wants some water To put out the blow torch  Isn't me, have a seed Let me clip, dirty wings Let me take a ride, cut yourself Want some help, please myself Got some rope, have been told Promise you, have been true Let me take a ride, cut yourself Want some help, please myself  Polly wants a cracker Maybe she would like some food She asks me to untie her Chase would be nice for a few  Isn't me, have a seed Let me clip, dirty wings Let me take a ride, cut yourself Want some help, please myself Got some rope, have been told Promise you, have been true Let me take a ride, cut yourself Want some help, please myself  Polly said  Polly says her back hurts She's just as bored as me She caught me off my guard Amazes me the will of instinct  Isn't me, have a seed Let me clip, dirty wings Let me take a ride, cut yourself Want some help, please myself Got some rope, have been told Promise you, have been true Let me take a ride, cut yourself Want some help, please myself
M;Fight Fire With Fire;Do unto others as they've done to you But what the hell is this world coming to?  Blow the universe into nothingness Nuclear warfare shall lay us to rest  Fight fire with fire Ending is near Fight fire with fire Bursting with fear We all shall die  Time is like a fuse, short and burning fast Armageddon's here, like said in the past  Fight fire with fire Ending is near Fight fire with fire Bursting with fear  Soon to fill our lungs, the hot winds of death The gods are laughing, so take your last breath  Fight fire with fire Ending is near Fight fire with fire Bursting with fear  Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight 
M;Confusion;Wake to face the day Grab this life and walk away War is never done Rub the patch and battle on Make it go away Please make it go away  Confusion All sanity is now beyond me Delusion All sanity is but a memory My life… The war that never ends  Leave the battlefield Yet its horrors never heal Coming home from war Pieces don't fit anymore Make it go away Please make it go away  Confusion All sanity is now beyond me Delusion All sanity is but a memory My life… The war that never ends  Father please come home Shell shocked all I've known Father please come home  Label him a deadwood soldier now Cast away and left to roam Rapid is the road to sacrifice Just takes longer to come home  Confusion All sanity is now beyond me Delusion Crossfire ricochets inside me Trapped in a memory forever My life… The war that never ends
M;Dream No More;He sleeps under black seas waiting Lies dreaming in death He sleeps under cosmos shaking Stars granting his breath  He wakes as the world dies screaming All horrors arrive He wakes giving earth its bleeding Pure madness alive  And He haunts you And He binds your soul And He loathes you And reclaims it all  You turn to stone Can't look away You turn to stone Madness, they say  Cthulhu, awaken  He sways in abyss returning Inhaling black skies He shakes with a torture burning All lost in his eyes  And He haunts you And He binds your soul And He loathes you And reclaims it all  You turn to stone Can't look away You turn to stone Madness, they say  Cthulhu, awaken  You turn to stone Can't look away You turn to stone Madness, they say  Sanity taken Seething damnation Cthulhu, awaken (Wake) Winged salvation Death by creation Cthulhu, awaken (Wake) Dreaming no more  Cthulhu, awaken (Wake) Dreaming no more Cthulhu, awaken (Wake) Dreaming no more 
M;Iced Honey;You can't put a butterfly in a jar If the effort's too high no matter who you are You can't catch the moon, or the sun or the stars It doesn't matter who you are Iced honey  Now me I've tried a million tricks To make life cold and make it stick Not running heat that flames then out But the proud piece of ice that always floats Iced honey  If I can't trap a butterfly or a bee If I can't keep my heart where I want it to be If no matter how much soul and heart I put to the wood If a flaming heart is not that good Iced honey  If you can't put a butterfly in a jar If violence mars your final hour If you make others feel like jam Poured on a piece of charbroiled lamb  If it's all mixed up and you cannot shout And your oxygen starts to run out If your final gasp has the recipe wrong And instead of hello you say so long  If your energy starts to leak out And people wonder what you're all about A heartbreaker with an unattached heart The story of love gives them all a start  And me, I've always been this way Not by choice, just this way I can't put my honey pot in a jar Or a heart or a fist of some young boy  If you can't put a butterfly in a jar No wonder no need to wonder where you are It might seem like Hell, the river Styx Your affection never sticks  No matter what you say, no matter what you do A butterfly heart flies right past you There's nothing to say, nothing to do See if the ice will melt for you Iced honey 
M;Leper Messiah;Spineless from the start, sucked into the part Circus comes to town, you play the lead clown Please, please Spreading his disease, living by his story Knees, knees Falling to your knees, suffer for his glory You will  Time for lust, time for lie Time to kiss your life goodbye Send me money, send me green Heaven you will meet Make a contribution And you'll get a better seat Bow to Leper Messiah  Marvel at his tricks, need your Sunday fix Blind devotion came, rotting your brain Chain, chain Join the endless chain Taken by his glamour Fame, Fame Infection is the game, stinking drunk with power We see  Time for lust, time for lie Time to kiss your life goodbye Send me money, send me green Heaven you will meet Make a contribution And you'll get a better seat Bow to Leper Messiah  Witchery, weakening Sees the sheep are gathering Set the trap, hypnotize Now you follow  Time for lust, time for lie Time to kiss your life goodbye Send me money, send me green Heaven you will meet Make a contribution And you'll get a better seat  Lie Lie Lie Lie Lie Lie Lie Lie  
M;Pumping Blood;If I pump out blood in the sunshine Oil on the wheel That is blasted and busted away  A nail or a little piece of glass A little piece of glass A little piece of glass Swarming like bees over the air Off the pump off the thing The blood that I’m pumping away  Like bees over the air Off the pump Off the thing The blood that I’m pumping away  Off the pump Off the thing The blood that I’m pumping away  If I pump blood in the sunshine And you wear a leather box with azaleas And I pump more blood And it seeps through my skin Will you adore the river The stream, the trickle The tributary of my heart  As I pump more blood And it seeps through my skin  Will you adore the river The stream, the trickle The tributary of my heart  If I’m pumping blood Like a common state worker If I waggle my ass like a dark prostitute Would you think less of me  And my coagulating heart  Waggle my ass like a dark prostitute Coagulating heart Pumping blood  Would you top me off Would you top me off as I deepen a curtsy While you yell out, “mercy” We grow apart Would you rip and cut me  Use a knife on me  Be shocked at the boldness The coldness of this little heart Tied up in leather Would you take the measure Of the blood that I pump In the manic confusion of love  Supreme violation Supreme violation “Oh, ah, ah, ah Jack I beseech you”  “Oh Jack I beseech you” Supreme violation  Blood in the foyer The bathroom The tea room The kitchen, with her knives splayed  I will swallow your sharpest cutter Like a colored man’s dick  Blood spurting from me “Oh Jack, Jack I beseech…” “Jack, I beseech you, I beseech…” In the end it was an ordinary heart  “Oh Jack I beseech you” As I scream out my pain In the end it was an ordinary heart  In the end, in the end, in the end It was an ordinary heart  “Jack, Jack, Jack, Jack, Jack I beseech you” Supreme violation... Oh  “Jack, Jack, Jack I beseech you” I call out your name  Blood in the foyer, the bathroom, The tea room, the kitchen And knives splayed I swallow your sharpest cutter Like a colored man’s dick Blood spurting from me Blood spurting from me  “Oh Jack”  “Oh Jack, I beseech ya” In the end it was an ordinary heart  In the end it was an ordinary heart Pumping blood 
M;Blitzkrieg;Let us have peace, let us have life, Let us escape the cruel night. Let us have time, let the sun shine, Let us beware the deadly sign.  The day is coming, Armageddon's near, Inferno's coming, can we survive the blitzkrieg. The blitzkrieg, the blitzkrieg.  Save us from fate, save us from hate, Save ourselves before it's too late. Come to our need, hear our plea, Save ourselves before the earth bleeds.  The day is dawning, the time is near, Aliens calling, can we survive the blitzkrieg.
M;Ain't My Bitch;Outta my way Outta my day Out of your mind and into mine  Into no one Into not one Into your step but out of time  Headstrong What’s wrong? I’ve already heard this song before You arrived, but now it’s time to kiss your ass goodbye  Dragging me down Why you around? So useless  It ain’t my fall It ain’t my call It ain’t my bitch It ain’t my bitch  Down on the sun Down and no fun Down and out, where the hell you been?  Damn it all down Damn it unbound Damn it all down to hell again  Stand tall Can’t fall Never even bend at all before You arrived, but now it’s time to kiss your ass goodbye  Dragging me down Why you around? So useless  It ain’t my fall It ain’t my call It ain’t my bitch  Outta my way  Outta my way Outta my day Out of your mind and into mine  Into no one Into not one Into your step but out of time  Headstrong What’s wrong? I’ve already heard this song before You arrived, but now it’s time to kiss your ass goodbye And now it’s time to kiss your ass goodbye  Dragging me down While you around? So useless  It ain’t my fall It ain’t my call It ain’t my bitch  No way but down Why you’re around No fooling  It ain’t my smile It ain’t my style It ain’t my bitch Oh, it ain’t mine  Ain’t mine Your kind You’re stepping out of time  Ain’t mine Your kind You’re stepping out of time  Taking me down Why you around No fooling  It ain’t my fall It ain’t my call It ain’t my bitch You ain’t mine 
M;Murder One;One crown Shines on through the sound One crown Born to lose One man Does not give a damn One man No excuse  Aces wild Aces high All the aces Aces 'til you die  White lines fading The iron horse rolls on and on and on  Hear your thunder Still feeding back Still hear your thunder The man in black Born to lose Living to win  One fist Hammers through the mist One fist Steady on One heart Die hard from the start One heart Beats its song  Murder all Murder one Gimme murder Second class to none  Headlights fading The iron horse rolls on and on and on  Hear your thunder Still feeding back Still hear your thunder The man in black Born to lose Living to win  Hear your thunder Still feeding back I still hear your thunder The man in black Born to lose No excuse  Till the end Been living to win Been living to win
N;I Hate Myself And Want To Die;Runny nose and runny yolk Even if you have a cold still You can cough on me again I still havent had my fulfill  In the someday what's that sound?  Broken heart and broken bones Think of how a castrated horse feels (Alt: Think about some capsules of horse pills) One more quirky cliche'd phrase You're the one I wanna refill  In the someday what's that sound?  [Spoken interlude in middle]  Most people don't realize That two large pieces of coral, Painted brown, and attached to his skull With common wood screws can make a child look like a deer  
M;Damage, Inc.;Dealing out the agony within Charging hard and no one's gonna give in Living on your knees, conformity Or dying on your feet for honesty Inbred, our bodies work as one Bloody, but never cry submission Following our instinct not a trend Go against the grain until the end  Blood will follow blood Dying time is here Damage Incorporated  Slamming through, don't fuck with razorback Stepping out? You'll feel our hell on your back Blood follows blood and we make sure Life ain't for you and we're the cure Honesty is my only excuse Try to rob us of it, but it's no use Steamroller action crushing all Victim is your name and you shall fall  Blood will follow blood Dying time is here Damage Incorporated  We chew and spit you out We laugh, you scream and shout All flee, with fear you run You'll know just where we come from  Damage Incorporated  Damage jackals ripping right through you Sight and smell of this, it gets me goin' Know just how to get just what we want Tear it from your soul in nightly hunt Fuck it all and fucking no regrets Never happy ending on these dark sets All's fair for Damage Inc. you see Step a little closer if you please  Blood will follow blood Dying time is here Damage Incorporated 
M;Hardwired;In the name of desperation In the name of wretched pain In the name of all creation Gone insane  We're so fucked Shit outta luck Hardwired to self-destruct  On the way to paranoia On the crooked borderline On the way to great destroyer Doom design  We're so fucked Shit outta luck Hardwired to self-destruct  Once upon a planet burning Once upon a flame Once upon a fear returning All in vain  Do you feel that hope is fading? Do you comprehend? Do you feel it terminating? In the end  We're so fucked Shit outta luck Hardwired to self-destruct Hardwired to self-destruct  Self-destruct Self-destruct Self-destruct 
M;Dragon;You don’t actually care Love for you is no beginning You’re not really there Hallucination  I thought you were listening Hallucination I thought you were listening Hallucination  I understand you think you’re above it The adolescent sense of the sky The feeling of billowing heartbeats The fingertips run through your hair  They run through your hair Hallucination Hallucination  Oh you think you’re so special That there’s no law meant for you You come and go like the goddess you are We’re mere mortals below Fingertips run through your hair We are mere mortals below  Are meant to be peons Are meant to be servants Are meant to be dismissible objects One fucks with One fucks with  Poor pitiful creature  The winner in heartbreak The winner in caring The winner in every miniscule method of wearing Your heart on your sleeve A red star of idiocy  An idiot’s idiocy My, my caring for you Caring for you Do you think we’re a book Some kind of a table You can rest your feet on when you’re able Red star of idiocy An idiot’s idiocy My caring for you Poor pitiful creature  To notice the pining The self deprivation The self flagellation of you Dear worshippers  We do like you regal We do like you haughty We do love to look upon your perfect body  The hair on your shoulders The smell of your armpit The taste of your vulva and everything on it We all really love you And you have no meaning You don’t even see us You were never caring  You go do what you do You do it for you No one exists with you You’re way above caring Leave a trail upon the wake That no one ever tries to take Because waiting for you Thinking of you Is another way of dying Is another way of dying  I’m clawing your chest ‘Til your collarbone bleeds Piercing your nipples ’til I bite them off I scratch your face and bite your shoulders Way above caring Way above caring And your Kotex jukebox Your Kotex jukebox  I’m doomed, I’m swearing Waiting for you In your high heels and nightie Your leather dress squeaking Latex now sweating, waiting for you In your tincture Your opium white bathrobe Your white tiles run red now Are we both dead now?  The liquid exchange of our heart The liquid exchange of our heart Are we both dead now?  You’re way above caring Your heart on your sleeve A red star of idiocy An idiot’s idiocy My caring My caring for you My caring for you You’re way beyond caring Your heart on your sleeve A red star of idiocy An idiot’s idiocy  My caring for you Oblivious to caring Oblivious to caring Oblivious to caring Leave a trail upon the wake That no one ever tries to take Because waiting for you Because thinking of you Is another way of dying  You’re way above caring Oblivious to caring Oblivious to caring You poor pitiful creature The mistake of feeling The one who rejects you is the winner, It’s true The winner in heartbreak The winner in caring The winner in every miniscule method of wearing Your heart on your sleeve A red star of idiocy An idiot’s idiocy Your heart on your fuckin’ sleeve My caring for you We were meant to be peons We’re meant to be peons Mere mortals below Meant to be servants  Meant to be dismissible objects one fucks with Oh, oh, oh you’re so special No law meant for you You come and go like the goddess you are  The fingertips run through your hair A billowing heart beats Feeling Feeling What a glorious feeling To be so rejected So rejected  An idiot’s idiocy My caring for you You think I’m a book or a table You can rest your fuckin’ feet on When you’re able  The taste of your vulva, everything on it The hair on your shoulders The smell of your armpit We do love you, to look upon your perfect body We love you regal We love you haughty Oblivious to caring Oblivious to caring Caring  Oh my dear Oh my dear Oh my dear Oblivious to caring  Are we really dead now? Are we both dead now? 
N;Marigold;He's there in case I want it all He's there cause I want He's scared cause I want it all He's there cause I want  All in all the clock is slow Six color pictures all in a row Of a marigold 
M;Hit The Lights;No life till leather We are gonna kick some ass tonight We got the metal madness When our fans start screaming It's right well alright When we start to rock We never want to stop again  Hit the lights Hit the lights Hit the lights  You know our fans are insane We are gonna blow this place away with volume higher Than anything today the only way When we start to rock We never want to stop again  Hit the lights Hit the lights Hit the lights  With all our screaming We are gonna rip right through your brain We got the lethal power It is causing you sweet pain Oh sweet pain When we start to rock We never want to stop again  Hit the lights Hit the lights Hit the lights Hit the lights
M;Motorbreath;Living and dying laughing and crying Once you have seen it you will never be the same Life in the fast lane is just how it seems Hard and it's heavy, it's dirty and mean  Motorbreath It's how I live my life I can't take it any other way Motorbreath The sign of living fast It is going to take Your breath away  Don't stop for nothing it's full speed or nothing I am taking down you know whatever is in my way Getting your kicks as you are shooting the line Sending the shivers up and down your spine  Motorbreath It's how I live my life I can't take it any other way Motorbreath The sign of living fast It is going to take Your breath away  Those people who tell you not to take chances They are all missing on what life is about You only live once so take hold of the chance Don't end up like others the same song and dance  Motorbreath It's how I live my life I can't take it any other way Motorbreath The sign of living fast It is going to take Your breath away 
N;Something In The Way;Underneath the bridge The tarp has sprung a leak And the animals I've trapped Have all become my pets And I'm living off of grass And the drippings from the ceiling It's okay to eat fish 'Cause they don't have any feelings  [x3] Something in the way, mmm Something in the way, yeah, mmm  Underneath the bridge The tarp has sprung a leak And the animals I've trapped Have all become my pets And I'm living off of grass And the drippings from the ceiling It's okay to eat fish 'Cause they don't have any feelings  [x4] Something in the way, mmm Something in the way, yeah, mmm
